Mug 0.76883 1.08523
Mug 0.768063 1.03889
Perfume 0.745492 1.34247
Perfume 0.773962 0.728205
Perfume 0.767483 0.729592
Perfume 0.766115 1.35172
Mug 0.745192 1.06286
Mug 0.736979 0.93401
Mug 0.796895 0.910995
Plug 0.629858 1.10976
Plug 0.629539 1.09756
Plug 0.623023 1.10976
Plug 0.665673 0.931034
Plug 0.624228 0.84375
Watch 0.69878 2.16176
Watch 0.697933 2.17647
Watch 0.695124 0.446667
Watch 0.687924 0.435065
Box 0.554446 0.491379
Box 0.552747 0.508621
Box 0.542735 1.8871
Box 0.544165 2.01754
Pouch 0.901978 0.735849
Pouch 0.893046 1.39914
Pouch 0.913272 0.712074
Cup 0.389945 1.36496
Vicks 0.791166 1.54167
Vicks 0.790939 0.784
Band 0.846386 0.39759
Band 0.834713 2.45588
Phone 0.968207 1.98333
Phone 0.946384 0.504167
Phone 0.948726 0.504167
Phone 0.958018 1.96694
Phone 0.513962 0.949791
Box 0.682621 0.512821
Cup 0.687698 1.575
Pouch 0.79386 0.739003
